Processed 1000 numbers: avg=10480.48, median=2867.40, uniques=1000
Processed 2000 numbers: avg=17409.70, median=5692.30, uniques=2000
Processed 3000 numbers: avg=34426.17, median=8663.20, uniques=3000
Processed 4000 numbers: avg=43042.86, median=11669.60, uniques=4000
Processed 5000 numbers: avg=49783.49, median=14545.50, uniques=5000
Processed 6000 numbers: avg=53582.14, median=17822.60, uniques=5998
Processed 7000 numbers: avg=57185.99, median=20848.90, uniques=6994
Processed 8000 numbers: avg=63129.21, median=23764.20, uniques=7993
Processed 9000 numbers: avg=71630.40, median=26748.80, uniques=8993
Processed 10000 numbers: avg=77703.24, median=29160.60, uniques=9992
Processed 11000 numbers: avg=81796.32, median=31293.80, uniques=10990
Processed 12000 numbers: avg=86546.43, median=34202.90, uniques=11985
Processed 13000 numbers: avg=93428.14, median=36717.70, uniques=12983
Processed 14000 numbers: avg=138661.20, median=39220.70, uniques=13982
Processed 15000 numbers: avg=146598.43, median=41334.40, uniques=14981
Processed 16000 numbers: avg=151877.66, median=43567.80, uniques=15981
Processed 17000 numbers: avg=157112.47, median=46339.50, uniques=16977
Processed 18000 numbers: avg=163460.54, median=48473.80, uniques=17969
Processed 19000 numbers: avg=177655.16, median=53673.50, uniques=18965
Processed 20000 numbers: avg=186309.70, median=56406.50, uniques=19963
Processed 21000 numbers: avg=190279.62, median=60158.30, uniques=20959
Processed 22000 numbers: avg=195750.69, median=63267.50, uniques=21953
Processed 23000 numbers: avg=197703.94, median=64984.80, uniques=22946
Processed 24000 numbers: avg=202455.38, median=67431.40, uniques=23937
Processed 25000 numbers: avg=212469.41, median=69846.50, uniques=24932
Processed 26000 numbers: avg=216389.92, median=71936.60, uniques=25928
Processed 27000 numbers: avg=221574.05, median=75056.90, uniques=26925
Processed 28000 numbers: avg=226404.73, median=77322.90, uniques=27917
Processed 29000 numbers: avg=237322.43, median=79921.80, uniques=28909
Processed 30000 numbers: avg=241156.35, median=82563.00, uniques=29904
Processed 31000 numbers: avg=253174.76, median=85511.50, uniques=30898
Processed 32000 numbers: avg=258261.30, median=88601.50, uniques=31890
Processed 33000 numbers: avg=260851.25, median=91873.80, uniques=32880
Processed 34000 numbers: avg=265136.02, median=93337.20, uniques=33876
Processed 35000 numbers: avg=288574.32, median=95854.70, uniques=34867
Processed 36000 numbers: avg=296389.80, median=99059.20, uniques=35855
Processed 37000 numbers: avg=299381.83, median=102173.70, uniques=36851
Processed 38000 numbers: avg=304705.50, median=103743.80, uniques=37846
Processed 39000 numbers: avg=313893.43, median=108143.00, uniques=38838
Processed 40000 numbers: avg=316765.41, median=109425.60, uniques=39834
Processed 41000 numbers: avg=321166.07, median=112005.80, uniques=40826
Processed 42000 numbers: avg=323256.00, median=116006.90, uniques=41817
Processed 43000 numbers: avg=331796.16, median=119077.00, uniques=42812
Processed 44000 numbers: avg=334985.62, median=120324.90, uniques=43804
Processed 45000 numbers: avg=343271.26, median=125253.00, uniques=44792
Processed 46000 numbers: avg=348390.97, median=128159.90, uniques=45779
Processed 47000 numbers: avg=351830.67, median=129807.90, uniques=46763
Processed 48000 numbers: avg=355503.65, median=131305.40, uniques=47752
Processed 49000 numbers: avg=363911.03, median=135800.50, uniques=48741
Processed 50000 numbers: avg=367234.56, median=138200.60, uniques=49733
Processed 51000 numbers: avg=410029.91, median=138694.90, uniques=50724
Processed 52000 numbers: avg=412438.90, median=139730.80, uniques=51716
Processed 53000 numbers: avg=417268.70, median=141339.80, uniques=52700
Processed 54000 numbers: avg=428240.57, median=143188.60, uniques=53685
Processed 55000 numbers: avg=431921.52, median=146961.00, uniques=54677
Processed 56000 numbers: avg=437380.20, median=149709.30, uniques=55671
Processed 57000 numbers: avg=451363.47, median=153067.50, uniques=56660
Processed 58000 numbers: avg=455672.95, median=155091.10, uniques=57646
Processed 59000 numbers: avg=457972.56, median=155969.10, uniques=58630
Processed 60000 numbers: avg=462365.96, median=158201.50, uniques=59616
Processed 61000 numbers: avg=463883.08, median=159107.30, uniques=60605
Processed 62000 numbers: avg=467507.92, median=163339.80, uniques=61591
Processed 63000 numbers: avg=470092.05, median=164906.40, uniques=62584
Processed 64000 numbers: avg=471284.77, median=167702.40, uniques=63569
Processed 65000 numbers: avg=487949.16, median=169122.50, uniques=64554
Processed 66000 numbers: avg=492033.88, median=170826.30, uniques=65539
Processed 67000 numbers: avg=499487.98, median=174187.70, uniques=66525
Processed 68000 numbers: avg=503519.49, median=176364.80, uniques=67512
Processed 69000 numbers: avg=589324.82, median=177635.10, uniques=68504
Processed 70000 numbers: avg=594450.82, median=180920.20, uniques=69493
Processed 71000 numbers: avg=597939.19, median=183923.30, uniques=70478
Processed 72000 numbers: avg=601742.34, median=187704.70, uniques=71461
Processed 73000 numbers: avg=603903.27, median=192902.10, uniques=72448
Processed 74000 numbers: avg=617035.07, median=195751.80, uniques=73437
Processed 75000 numbers: avg=623367.54, median=197489.60, uniques=74424
Processed 76000 numbers: avg=634293.45, median=198779.90, uniques=75409
Processed 77000 numbers: avg=636643.55, median=199834.90, uniques=76392
Processed 78000 numbers: avg=638302.96, median=202226.20, uniques=77381
Processed 79000 numbers: avg=643090.87, median=206077.00, uniques=78365
Processed 80000 numbers: avg=645617.92, median=208595.30, uniques=79345
Processed 81000 numbers: avg=648688.07, median=211556.80, uniques=80326
Processed 82000 numbers: avg=651472.40, median=212700.10, uniques=81311
Processed 83000 numbers: avg=654740.66, median=213873.70, uniques=82298
Processed 84000 numbers: avg=685898.43, median=215485.90, uniques=83288
Processed 85000 numbers: avg=694636.56, median=217743.90, uniques=84270
Processed 86000 numbers: avg=704659.69, median=224301.80, uniques=85249
Processed 87000 numbers: avg=714527.54, median=230225.30, uniques=86229
Processed 88000 numbers: avg=716222.51, median=231507.60, uniques=87215
Processed 89000 numbers: avg=718238.11, median=234377.40, uniques=88192
Processed 90000 numbers: avg=721110.04, median=235666.30, uniques=89174
Processed 91000 numbers: avg=728011.61, median=240102.80, uniques=90156
Processed 92000 numbers: avg=729574.69, median=243534.90, uniques=91133
Processed 93000 numbers: avg=731663.58, median=245663.50, uniques=92117
Processed 94000 numbers: avg=738475.81, median=247925.50, uniques=93099
Processed 95000 numbers: avg=740565.87, median=251010.30, uniques=94082
Processed 96000 numbers: avg=764859.45, median=253408.50, uniques=95063
Processed 97000 numbers: avg=770899.46, median=256046.70, uniques=96041
Processed 98000 numbers: avg=777456.99, median=257662.00, uniques=97025
Processed 99000 numbers: avg=780291.34, median=259121.60, uniques=98007
Processed 100000 numbers: avg=780910.68, median=259497.80, uniques=98986
Processed 101000 numbers: avg=785413.32, median=263352.20, uniques=99960
Processed 102000 numbers: avg=821689.23, median=266710.60, uniques=100942
Processed 103000 numbers: avg=829716.99, median=268170.20, uniques=101922
Processed 104000 numbers: avg=835226.69, median=272225.30, uniques=102897
Processed 105000 numbers: avg=839431.09, median=274513.90, uniques=103877
Processed 106000 numbers: avg=840890.17, median=276645.60, uniques=104858
Processed 107000 numbers: avg=853163.34, median=280520.90, uniques=105841
Processed 108000 numbers: avg=855035.16, median=280859.10, uniques=106813
Processed 109000 numbers: avg=860661.52, median=285876.20, uniques=107780
Processed 110000 numbers: avg=863239.91, median=287073.30, uniques=108759
Processed 111000 numbers: avg=865900.98, median=290561.10, uniques=109744
Processed 112000 numbers: avg=869546.81, median=294197.00, uniques=110725
Processed 113000 numbers: avg=875748.26, median=295510.90, uniques=111694
Processed 114000 numbers: avg=876980.54, median=296394.30, uniques=112675
Processed 115000 numbers: avg=882209.25, median=299361.40, uniques=113649
Processed 116000 numbers: avg=887000.04, median=303499.70, uniques=114624
Processed 117000 numbers: avg=907245.27, median=306110.50, uniques=115599
Processed 118000 numbers: avg=957747.97, median=310597.10, uniques=116575
Processed 119000 numbers: avg=982483.14, median=316217.60, uniques=117556
Processed 120000 numbers: avg=985217.72, median=319085.70, uniques=118531
Processed 121000 numbers: avg=991006.20, median=320653.90, uniques=119506
Processed 122000 numbers: avg=997304.73, median=321449.30, uniques=120488
Processed 123000 numbers: avg=1000328.50, median=322122.00, uniques=121466
